name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Derrick White,"['PG', 'SG']",60,23.9,.459,.860,0.9,3.1,3.3,2.74,0.6,0.9,1.2,10.3
Aron Baynes,['C'],41,22.0,.490,.747,1.4,5.7,1.6,1.38,0.2,0.6,1.2,11.6
Tomas Satoransky,"['PG', 'SG']",64,28.9,.432,.876,1.0,3.8,5.5,2.71,1.3,0.1,2.0,10.0
Wendell Carter Jr.,['C'],42,29.3,.527,.736,0.1,9.5,1.2,0.71,0.7,0.9,1.7,11.1
RJ Barrett,"['SG', 'SF']",54,30.3,.398,.602,1.1,5.0,2.6,1.18,0.9,0.3,2.2,14.1
Jordan Clarkson,['SG'],62,24.3,.466,.839,2.1,2.7,2.0,1.49,0.7,0.2,1.3,15.2
Goran Dragic,['PG'],53,28.4,.442,.768,2.2,3.0,5.1,2.09,0.6,0.2,2.4,16.3
Derrick Favors,"['C', 'PF']",45,24.2,.620,.581,0.0,9.9,1.7,1.47,0.6,1.0,1.1,9.2
Patrick Williams,['SF'],--,--,--,--,--,--,--,--,--,--,--,--
Harrison Barnes,"['SF', 'PF']",64,34.9,.459,.803,1.5,4.8,2.4,1.90,0.6,0.2,1.3,14.7
Tim Hardaway Jr.,"['SG', 'SF']",61,28.5,.439,.810,2.9,3.0,2.0,2.00,0.6,0.1,1.0,15.8
Jae Crowder,"['PF', 'SF']",57,29.2,.384,.785,1.9,6.0,2.6,2.35,1.1,0.4,1.1,10.4
Willie Cauley-Stein,['C'],53,20.5,.575,.606,0.0,5.8,1.3,1.79,0.9,1.2,0.7,7.2
Terrence Ross,"['SG', 'SF']",62,27.3,.406,.842,2.5,3.2,1.2,1.24,1.1,0.3,1.0,14.6
Daniel Theis,"['C', 'PF']",57,23.7,.562,.760,0.4,6.6,1.6,1.92,0.6,1.3,0.8,9.1
Darius Garland,['PG'],59,30.9,.401,.875,1.8,1.9,3.9,1.52,0.7,0.1,2.6,12.3
Joe Harris,"['SG', 'SF']",62,30.9,.469,.747,2.4,4.3,2.1,1.41,0.6,0.3,1.5,14.0
Jeremy Lamb,"['SG', 'SF']",46,28.1,.451,.836,1.2,4.3,2.1,1.92,1.2,0.5,1.1,12.5
Mo Bamba,['C'],59,14.5,.468,.689,0.6,4.9,0.7,0.95,0.3,1.4,0.7,5.5
Troy Brown Jr.,['SF'],60,25.0,.452,.755,0.8,5.3,2.4,2.27,1.3,0.1,1.0,9.8
Will Barton,"['SF', 'SG']",56,33.0,.448,.771,1.8,6.3,3.7,2.41,1.0,0.5,1.5,15.0
Marc Gasol,['C'],36,27.4,.419,.722,1.4,6.3,3.4,2.88,0.8,0.9,1.2,7.6
Monte Morris,['PG'],63,21.6,.467,.814,0.8,1.8,3.6,4.98,0.8,0.2,0.7,8.6
Nemanja Bjelica,['PF'],64,28.5,.475,.822,2.0,6.4,2.8,1.95,0.8,0.5,1.4,11.9
Thaddeus Young,"['PF', 'SF']",63,25.0,.447,.586,1.2,4.9,1.8,1.14,1.4,0.4,1.6,10.3
Ish Smith,['PG'],60,26.1,.451,.686,0.9,3.2,4.8,3.70,0.9,0.4,1.3,10.5
Taurean Prince,"['SF', 'PF']",63,29.1,.379,.793,2.3,6.0,1.8,0.91,0.9,0.4,2.0,12.2
Cedi Osman,['SF'],64,29.4,.442,.667,1.9,3.5,2.4,1.68,0.8,0.2,1.4,11.1
OG Anunoby,['SF'],62,30.1,.507,.686,1.3,5.4,1.6,1.32,1.4,0.7,1.2,10.8
Seth Curry,"['SG', 'PG']",59,24.6,.500,.841,2.3,2.4,2.0,1.98,0.6,0.1,1.0,12.6
